rho,volvol,v_atm_n,alpha,F,K,log_moneyness,beta,T,Shift,y_scaled
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9838056680161943,1.0,0.25,1.0,0.0,0.1517354231429315
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.7619433198380567,-0.9999999999999993,0.25,1.0,0.0,0.16446709342476926
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.7369577790630422,-0.6438245304334964,0.25,1.0,0.0,0.15634474733616793
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.7119722382880278,-0.31736632215360744,0.25,1.0,0.0,0.1494495736046024
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.6869866975130132,-0.016046115979360648,0.25,1.0,0.0,0.14417749362778437
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.6620011567379989,0.26373219057982783,0.25,1.0,0.0,0.1408911883470385
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.6370156159629844,0.5248442859637645,0.25,1.0,0.0,0.13985745808154665
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.6120300751879699,0.7696258868568887,0.25,1.0,0.0,0.1411900103943533
-1.0,-1.0,-0.5999999999999999,-0.7578970363883686,-0.6000000000000001,-0.5870445344129555,1.0,0.25,1.0,0.0,0.14482798295380056
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.5238866396761133,-0.9999999999999989,0.25,1.0,0.0,0.2076002086893735
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.47622903412377093,-0.6438245304334964,0.25,1.0,0.0,0.18455129688075028
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.4285714285714286,-0.31736632215360794,0.25,1.0,0.0,0.1639540968230881
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.38091382301908605,-0.016046115979360204,0.25,1.0,0.0,0.1478517584665029
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.33325621746674383,0.263732190579827,0.25,1.0,0.0,0.13871537401453396
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.2855986119144014,0.5248442859637645,0.25,1.0,0.0,0.1383306076035901
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.23794100636205895,0.7696258868568887,0.25,1.0,0.0,0.14652749078663704
-1.0,-1.0,-0.5999999999999999,-0.8206667237904366,-0.19999999999999996,-0.19028340080971662,1.0,0.25,1.0,0.0,0.16142880855754022
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,-0.2858299595141699,-0.9999999999999993,0.25,1.0,0.0,0.2545815389965909
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,-0.2155002891844996,-0.643824530433497,0.25,1.0,0.0,0.2164397568500507
-1.0,-1.0,-0.5999999999999999,-0.8538608853946362,0.20000000000000018,-0.1451706188548293,-0.31736632215360794,0.25,1.0,0.0,0.18076691461267685
